application_ID,gross_margin_ratio,core_income_ratio,cash_asset_ratio,consolidated_liabilities_ratio,tangible_assets_ratio,revenues,target
a1Q7R00000ej2yjUAA,0.464636707194417,0.0125934084914631,0.0,0.416001808268284,1.0,410.0,1
a1Q2X00000ZWC5LUAX,0.372340425531915,0.115384615384615,0.235955056179775,0.484042553191489,1.0,208.0,0
a1Q2X00000XcCCQUA3,0.27,0.0063694267515923,0.359375,0.125,0.375,471.0,1
a1Q7R00000ejSs3UAE,0.419928825622776,0.152173913043478,0.136150234741784,0.765124555160142,0.0588235294117647,598.0,0
a1Q7R00000eiRidUAE,0.526315789473684,0.0833333333333333,0.233333333333333,0.197368421052632,0.75,108.0,0
a1Q7R00000c7W0XUAU,0.673177083333333,0.0266086115142719,0.192248062015504,0.252604166666667,0.504065040650406,2073.0,0
a1Q7R00000ZWOTeUAP,1.66666666666667,0.0175438596491228,0.615384615384615,0.277777777777778,0.0,57.0,0
a1Q7R00000ZWI9YUAX,0.307391091532061,0.0106478827094766,0.0802713397399661,0.157611355849241,0.843065693430657,12209.0,1
a1Q7R00000a2vntUAA,0.457290586725803,0.0688915656160738,0.0,0.369088503259972,1.0,584.0,1
a1Q7R00000a2sxMUAQ,0.221461187214612,-0.0452898550724638,0.0517241379310345,0.0810502283105023,0.715017064846416,552.0,0
a1Q7R00000eiTuMUAU,0.464636707194417,0.0125934084914631,0.0,0.416001808268284,1.0,410.0,0
a1Q7R00000a392DUAQ,0.0841121495327103,0.0159256801592568,0.153679653679654,0.132710280373832,1.0,1507.0,0
a1Q2X00000Z6kOsUAJ,0.50259067357513,0.0587659157688541,0.154929577464789,0.465025906735751,0.676363636363636,1100.0,0
a1Q7R00000ejiELUAY,0.356986421375383,0.0347574221578566,0.216389930369577,0.423127463863338,0.0384615384615385,1752.0,0
a1Q7R00000eiqOtUAI,0.1875,-0.0959409594095941,0.0923076923076923,0.122159090909091,0.740740740740741,277.0,0
a1Q7R00000ZWGL3UAP,0.361522198731501,0.0075757575757575,0.10709219858156,0.284883720930233,0.0726141078838174,1768.0,1
a1Q7R00000a2yE8UAI,0.501766784452297,0.0307692307692308,0.323008849557522,0.0848056537102474,1.0,208.0,0
a1Q7R00000a2qhqUAA,0.335260115606936,0.0664536741214058,0.406976744186047,0.554913294797688,0.5,1565.0,0
a1Q7R00000a38e1UAA,0.0606060606060606,0.021978021978022,0.306451612903226,0.0454545454545455,0.5,182.0,1
a1Q7R00000eix0eUAA,-0.0450236966824645,-0.447154471544715,0.188888888888889,0.146919431279621,0.0602409638554217,182.0,1
a1Q7R00000a3E1tUAE,0.255639097744361,0.0197152245345016,0.2109375,0.413533834586466,0.2,913.0,1
a1Q7R00000ejYdOUAU,0.464636707194417,0.0125934084914631,0.0,0.416001808268284,1.0,410.0,0
a1Q7R00000a38eLUAQ,0.325443786982249,0.0460251046025105,0.116788321167883,0.544378698224852,0.53125,239.0,0
a1Q7R00000ZWVvFUAX,0.48605577689243,0.0576923076923077,0.0274725274725275,0.422310756972112,0.0072463768115942,988.0,0
a1Q7R00000ZWVifUAH,0.229961682960403,0.0296371270618898,0.0,0.370582043783666,1.0,946.0,1
